user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
julie-schonfeld		Schonfeld	julie.schonfeld	https://en.wikipedia.org/wiki/Julie_Schonfeld	Rabbi Julie Schonfeld is the Executive Vice President of the Rabbinical Assembly (RA), the international membership association of Conservative/Masorti rabbis. Rabbi Schonfeld started her career as a congregational rabbi at the historic Society for the Advancement of Judaism on the Upper West Side of Manhattan. Prior to being named Executive Vice President, she was Director of Rabbinic Development at the RA, spearheading projects in areas such as public policy, conversion, continuing rabbinic education, professional  conduct, mentorship and women’s’ advancement. Rabbi Schonfeld serves on President Obama’s White House Council for Faith-Based and Neighborhood Partnerships. Newsweek named her one of the 50 most influential Rabbis in America in 2011, 2012 and 2013. She was named by Jewish Women International as a “Woman to Watch” in 2011 and has also been named in the Forward 50. Rabbi Schonfeld is often called upon to represent the Jewish community in national and international settings and is known for her incisive application of Jewish thinking to world events.				
moses-schorr		Schorr	moses.schorr	https://pl.wikipedia.org/wiki/Mojżesz_Schorr	Prof. Mojżesz Schorr (born May 10, 1874 in Przemyśl, died July 8, 1941 in a labor camp in Posty in Uzbekistan ) - Polish-Jewish historian, Talmudic scholar. Besides being a rabbi and academic, Rabbi Schorr was a political activist and senator in the Polish legislature. He was the vice-president of B'nai B'rith and one of the founders of the historiography of Polish Jews before he was arrested by the Soviet NKVD and sent to a labor camp in Uzbekistan as a socially dangerous element. General Władysław Sikorski, the Vatican, and the Polish embassy in the USSR all unsuccessfully sought his release. He died on 8 July 1941 in an unknown location in the area of the labor camp.				
rabbijoeschwartz		Schwartz	Joe	http://%20www.theidra.org	Rabbi Joe Schwartz is the founder of Founder, IDRA Beit Café / Beit Tarbut. He is a David Hartman Center Fellow and served  for three years as Rabbi of the Conservative Synagogue of Fifth Avenue, a small, traditional-egalitarian synagogue in Greenwich Village.				
paula-schwebel		Schwebel	Paula Schwebel (translation)	https://www.ryerson.ca/philosophy/facultystaff/paula-schwebel/	Paula Schwebel is Associate Professor in the Department of Philosophy at Ryerson University.				
yael-schweid		Schweid	yael.schweid		Yael Schweid (יעל שביד) born in Jerusalem in 1967, is a clinical psychologist and psychoanalyst, and a member of the Reform congregation Shir Chadash in Tzur Hadassah.				
mel-scult		Scult	mel.scult	https://jwa.org/encyclopedia/author/scult-mel	Mel Scult, professor emeritus of Jewish thought at Brooklyn College, received his M.A. from Harvard University and his Ph.D. from Brandeis University. He has taught at Brandeis, Vassar College and the New School for Social Research. Scult is the author of a biography of Mordecai Kaplan, <em>Judaism Faces the Twentieth Century</em>, <em>The Radical American Judaism of Mordecai Kaplan</em> and <em>Communings of the Spirit-The Journals of Mordecai M. Kaplan Vol II, 1934-1941</em>. He has co-edited, with Emmanuel Goldsmith, <em>Dynamic Judaism: The Essential Writings of Mordecai Kaplan</em> and <em>The American Judaism of Mordecai Kaplan</em>.				
hyman-alter-segal		Segal	Ḥayyim Alter Segal		"Hyman Alter Segal (חיים אלטר סג״ל, b.?-d.?) was an editor for the Hebrew Publishing Company in the mid- 20th century. He arranged the <em>Siddur Tifereth David</em> (1951), containing the first English translation of a Sefard/Ḥasidic prayerbook for American Jewry. We are not certain whether Hyman Alter Segal is the same person as Hyman Segal, author of <em>The Book of Pain-Struggle</em> (1911) and <em>The Law of Struggle</em> (1918), and a contributing poet to the anthology <em>New Songs of Zion</em> (ed. Samuel Roth 1914). 

(We would like to know more about Hyman Alter Segal. If you </a>have any more details, <a href=""/contact/"">please let us know.)"				
shlomo-segal		Segal	shlomo.segal		Shlomo Segal is rabbi of Kehilat Moshe synagogue in Sheepshead Bay, Brooklyn.				
enrico-segre		Segre (transcription)	Enrico Segre (transcription)		"Dr. Enrico Segre is a physics researcher at the Weizmann Institute of Science in Israel, and a volunteer transcriber with Project Gutenberg Distributed Proofreaders. He is the author of <a href=""http://ehc.ac/p/dpanalyzer/"" target=""_blank"" rel=""noopener"">dpanalyzer</a>, a postprocessing tool used by Project Gutenberg."				
sam-seicol		Seicol	Rabbi Sam Seicol		Rabbi Sam Seicol was ordained as a Reform rabbi in 1978 and is a volunteer at the Vilna Shul in Boston. There he offers classes and programs on a wide range of topics such as Understanding Judaism, Aging and Spirituality, Music and Humor as Pathways to Spiritual Well-being, and History and Development of American Jewish Humor.  He is part-time Interfaith Chaplain at Mass Eye and Ear in Boston and part-time Rabbi at Temple Israel of Dover, New Hampshire. Rabbi Seicol has served as MIT’s Hillel Community Education &amp; Engagement Director. He previously worked with congregations as an interim rabbi in Hyannis, Pittsfield, and Tampa. Before that he was the Chaplain/Director of Religious Services at the Hebrew Rehabilitation Center for the Aged in Boston from 1994 through 2003, and has worked in the field of Geriatric Chaplaincy since 1982.				
david-seidenberg		Seidenberg	Reb Dovid	http://neohasid.org	"Rabbi David Seidenberg, founder of <a href=""http://neohasid.org"">NeoHasid.org</a>, teaches text and music, Jewish thought and spirituality, in their own right and in relation to ecology and the environment. With <em>smikhah</em> (ordination) from the Jewish Theological Seminary and from <a href=""http://opensiddur.org/by/zalman-schachter-shalomi/"">Rabbi Zalman Schachter-Shalomi</a>, he has taught at over 100 synagogues, communities, retreats and conferences across North America (and a few in Europe and Israel). Rabbi Seidenberg's teaching empowers learners to become creators of Judaism through deep study and communion with texts and tradition. Areas of specialty include Kabbalah and Ḥasidut, Talmud, davenning, evolution and cosmology, sustainability, Maimonides, Buber, and more. Rabbi Seidenberg has <a href=""http://neohasid.org/about/pub"">published widely</a> on ecology and Judaism. He is the author of the acclaimed book <em>Kabbalah and Ecology: God's Image in the More-Than-Human World</em> (Cambridge U. Press, 2015). To read selections and find out about ordering the book, go to <a href=""http://kabbalahandecology.com"">kabbalahandecology.com</a>."			http://opensiddur.org/wp-content/avatars/david-seidenberg.jpg	
margot-seigle		Seigle	margot.seigle		Margot is a queer, white, Ashkenazi Jew born and raised in Elgin, IL, where her Great Grandpa arrived three generations ago, and where her parents met at the synagogue her Great Grandpa started. Growing up with more than enough, she believes that we would all – even the 1%! – be better off if everyone had enough, and fights to shift this paradigm. An organizer at heart, she does this through supporting the leadership development of individuals and building collective energy and shared decision-making structures around projects that shift power and resources to those at the frontlines of injustice. Margot sees learning about the impacts of privilege and oppression as well as building tools to support the healing of this impact as crucial to being an effective change maker. She seeks to bring her values, skills, and networks to the Jewish community to thinking about what healing looks like with the complex history as well as expanding our concept of and strengthening our obligation to community. In her free time, Margot enjoys crafting, singing, fiddling, cooking, meditating, biking, and bringing people together. Margot is currently the Ḥazon Transformative Experiences Fellow based out of Isabella Freedman Jewish Retreat Center.				
gershom-mendes-seixas		Seixas	gershom-mendes.seixas	https://en.wikipedia.org/wiki/Gershom_Mendes_Seixas	"Gershom Mendes Seixas (1745–1816) led the Sepharadi Congregation Shearith Israel in New York from 1768 to 1776 and again from 1784 to 1816. Although not an ordained Rabbi, he served as Ḥazzan and was among the first Jewish communal leaders who was born and educated in the United States. He was also the first American Jewish synagogue leader to give a d'var torah (sermon) in English. Seixas was an ardent patriot during the American Revolution. He moved the congregation to Philadelphia's Congregation Mikveh Israel and was the Ḥazzan there for the duration of the war. In 1783, he successfully sought revisions in a constitutional clause newly adopted by the Pennsylvania State Legislature, which required a religious examination for seekers of public office. Seixas was one of the fourteen recognized ministers in New York in 1789 who participated in George Washington's first inauguration at Federal Hall in New York City. He delivered the first Thanksgiving address in an American synagogue following the adoption of the United States Constitution. (via his <a href=""https://en.wikipedia.org/wiki/Gershom_Mendes_Seixas"">article in wikipedia</a>)"				
dovi-seldowitz		Seldowitz	dovi.seldowitz		Dovi Seldowitz, PhD candidate (Sociology), received his BA (Hons) in Sociology and Anthropology at UNSW and rabbinical ordination from the Central Lubavitch Yeshiva in Brooklyn. His area of research concerns social change in religion, with close attention to the growth of women's leadership in Orthodox and Hasidic communities.				
goetzel-selikovitsch		Selikovitsch	goetzel.selikovitsch	http://yleksikon.blogspot.com/2016/09/getsl-zelikovitsh-george-selikovitch.html	Goetzel (George) Selikovitsch (also, Getsl Zelikovitsh; 1855/1863-1926): A specialist in linguistics and hieroglyphics. Born in Retovo, Kovno (Lithuania), he was known at an early age as a boy wonder in Hebrew and the Talmud. Son of Rabbi David Selikovitsch and Rachel Sundelevitz. Educated in the yeshivot of Karlin, Mir, and Tauroggen. After completing linquistic studies at the École des Hautes Études in Paris in 1884, he went on to become Chief Interpreter to Lord Wolseley in Khartoum and studied languages in Africa and the Middle East. In 1887, he was a lecturer in hieroglyphs and Egyptology at the University of Pennsylvania and the Franklin Institute, Philadelphia. Literary editor of the Ha-Melitz and Ha-Magid for three years; member of Athénée Oriental, Paris. Author: Le Schéol des Hébreux, la division mystique du temps chez les Sémites et les Egyptiens, 1881-1882; Dawn of Egyptian Civilization, 1887; also several Yiddish novels. Contributed numerous articles, poems, and dissertations to Hebrew and English periodicals and to L'Univers and L'lntransigeant.				
septuagint		Septuagint	Septuagint (translation/Greek)	https://en.wikipedia.org/wiki/Septuagint	The Septuagint (from the Latin: septuaginta, lit. 'seventy'; often abbreviated 70; in Roman numerals, LXX), is the earliest extant Koine Greek translation of books from the Hebrew Bible, various biblical apocrypha, and deuterocanonical books. The first five books of the Hebrew Bible, known as the Torah or the Pentateuch, were translated in the mid-3rd century BCE; they did not survive as original-translation texts, however, except as rare fragments. The remaining books of the Septuagint are presumably translations of the 2nd century BCE. The full title (Ancient Greek: Ἡ μετάφρασις τῶν Ἑβδομήκοντα, lit. 'The Translation of the Seventy') derives from the story recorded in the Letter of Aristeas that the Torah was translated into Greek at the request of Ptolemy II Philadelphus (285–247 BCE) by 70 Jewish scholars or, according to later tradition, 72: six scholars from each of the Twelve Tribes of Israel, who independently produced identical translations. The miraculous character of the Aristeas legend might indicate the esteem and disdain in which the translation was held at the time; Greek translations of Hebrew scriptures were in circulation among the Alexandrian Jews. Egyptian papyri from the period have led most scholars to view as probable Aristeas's dating of the translation of the Pentateuch to the third century BCE. Whatever share the Ptolemaic court may have had in the translation, it satisfied a need felt by the Jewish community (in whom the knowledge of Hebrew was waning).				
lawrence-sernovitz		Sernovitz	lawrence.sernovitz	https://www.nafshenu.org	Lawrence Sernovitz is the rabbi/executive director of Nafshenu in Cherry Hill, New Jersey. Rabbi Sernovitz founded Nafshenu with the understanding that Judaism must be reimagined to remain relevant and meaningful in today’s world. With this in mind, Rabbi Sernovitz set out to create a model of Judaism and Jewish life in Southern New Jersey that would be bold, courageous, and transformative. Assembling a core team of families who also believed in this vision, Nafshenu was created with a foundation that Jewish life first and foremost is about people, about their hopes and dreams. Rabbi Sernovitz has been focused on areas in his rabbinate that include education, interfaith matters, prayer and spirituality, and social justice. He is on the Statewide Clergy Caucus of Faith in New Jersey and received their Faith in Love award in 2018 for his justice work. He also is the recipient of Camden County’s MLK Freedom Medal for his community and justice work. Rabbi Sernovitz also serves as a Chaplain for the Cherry Hill and Maple Shade Police Departments. In April of 2016, Rabbi Sernovitz received the Ambassador Award from the New Jersey Governor’s Council on Mental Health Stigma. Prior to coming to Cherry Hill, he served Old York Road Temple-Beth Am in Abington, Pennsylvania, where he was honored to serve as Vice-Chair of the Montgomery County Advisory Council of the Pennsylvania Human Relations Commission and received its Trailblazer Award in 2013 at the annual Civil Rights Luncheon. Rabbi Sernovitz is also passionate about Jewish Genetic Disease Awareness and has spoken around the country, advocating for testing among those of child bearing age.				
shalom-shabazi		Shabazi	shalom.shabazi	https://en.wikipedia.org/wiki/Shalom_Shabazi	Rabbi Shalom ben Yosef ben Avigad Shabazi of the family of Mashtā (1619 – c. 1720), also Abba Sholem Shabazi or Saalem al-Shabazi (Hebrew: שלום שבזי, Arabic: سالم الشبزي‎), was a Jewish poet who lived in 17th century Yemen. He is now considered the 'Poet of Yemen'.				
dahlia-shaham		Shaham	dahlia.shaham		Rabbi Dahlia Shaham from Haifa holds a LL.B degree in Law and Latin American Studies from the Hebrew University (2003) and a MA.L.D in International Political Economy from the Fletcher School of Law and Diplomacy (2009). Between 2005-2017 Dahlia worked in policy research and advocacy, strategic planning and programming with some of the leading civil society organizations working to promote a shared, thriving and democratic society in Israel and the Middle East. During the summer war of 2014, as the land was burning, Dahlia began to convene and lead song circles for women in Hebrew and Arabic, and she joined the cantorial team in the Reform synagogue in Ra’anana. Her rabbinic thesis: “Spiritual Feminism in the Promised Land: Journey with D’vorah the Prophetess” presents her insights on the roots of the conflict in our country, and the road to peace and partnership between the genders, tribes and peoples who live in it. She is a member of congregation Ohel Avraham and enjoys working with all Progressive Jewish communities in Haifa.				
havurat-shalom		Shalom	havurat-shalom	https://www.thehav.org	"Ḥavurat Shalom is a small egalitarian ḥavurah in Somerville, Massachusetts. Founded in 1968, it is not affiliated with the major Jewish denominations. Ḥavurat Shalom was the first countercultural Jewish community and set the precedent for the national ḥavurah movement. Founded in 1968, it was also significant in the development of the Jewish renewal movement and Jewish feminism. Originally intended to be an ""alternative seminary"", instead it evolved into a ""model ḥavurah."" Founders and members of Ḥavurat Shalom have included Edward Feld, Merle Feld, Michael Fishbane, Everett Gendler, Arthur Green, Barry Holtz, Gershon Hundert, James Kugel, Alfred A. Marcus, Zalman Schachter-Shalomi, Jim Sleeper, Michael Strassfeld, and Arthur Waskow. Historian Jonathan Sarna has noted that among these members were ""the people who would be leading figures in Jewish life in the second half of the 20th century.”"				
shalom-center		Shalom Center	shalom.center	https://theshalomcenter.org	Founded by Arthur Waskow, the Shalom Center equips activists and spiritual leaders with awareness and skills needed to lead in shaping a transformed and transformative Judaism that can help create a world of peace, justice, healing for the earth, and respect for the interconnectedness of all life.				
shalom-hayyim-sharabi		Sharabi	Shalom Ḥayyim Sharabi	https://en.wikipedia.org/wiki/Shalom_Sharabi	"Rabbi Shalom Ḥayyim Sharabi, (רבי שלום חיים שרעבי) was born 1872/1873 in the city of Kubir, in the Sharab district of Yemen to the family of the rabbi and kabbalist, Rabbi Ḥayyim U'ar Sharabi (חיים עואר שרעבי). At the age of 18, he received his smicha. For twenty-three years, he studied at the Beit Midrash of Rabbi Yosef Sa'adia Darhami Cohen. Together with his father, he emigrated to Erets Yisrael (then Ottoman Palestine) in 1912. According to his obituary in the newspaper HaTsefah on 20 Feb 1946, ""His exodus from Sharab made a tremendous impression, and consequently, the Jews of Sharab began to prepare for aliyah. For nearly ten years he worked in Israel in agriculture and construction and lived a life of poverty and sorrow. With all the difficult crises and the difficult physical work, he continued his holy work, and the words of Torah and Mystery did not escape his mouth even during the work of the hoe. When he was fifty years old, he left the physical work and continued on as a kosher slaughterer."" He died on 9 Jan 1946 (7 Shvat 5706)."				
moshe-sharett		Sharett	moshe.sharett	https://en.wikipedia.org/wiki/Moshe_Sharett	Moshe Sharett (משה שרת‎, born Moshe Chertok (משה שרתוק‎)‎ 15 October 1894 – 7 July 1965) was the second Prime Minister of Israel (1954–55), serving for a little under two years between David Ben-Gurion's two terms. He continued as Foreign Minister (1955–56) in the Mapai government.				
richard-shavei-tzion		Shavei-Tzion	richard.shavei-tzion		"Cape Town born Richard Shavei-Tzion (ריצ'רד שביציון) is an autodidact in all his fields of creative activity. At age 18 he was invited to conduct the Pine Street Shul Choir in Johannesburg. Since then he has directed choral ensembles in both South Africa and Israel. For the past 20 years he has directed the Ramatayim Men’s Choir, Jerusalem which has grown from an ad hoc group of 4 friends into an internationally renowned ensemble consisting of 40 singers. He has conducted High Holidays services for the past 35 years in South Africa, Israel, the U.S.A. and Canada and is often invited to lead communal events, singing and playing guitar. He also composes and arranges Jewish music, mainly for the RMC. His poetry has been published widely over decades. In 2015 the Municipal Art Gallery of Jerusalem displayed his photographic works in a solo exhibition which received popular and critical praise.  He is the author of the ""Prayer for the Preservation of the Environment"" which has been read in synagogues of all denominations and other venues around the world and he writes articles of social and cultural interest. He is a regular contributor to the Jerusalem Post."				
andrew-shaw		Shaw	andrew.shaw		Andrew Shaw is a Jewish spiritual seeker. He currently lives in Raleigh, NC.				
eliyahu-yosef-shear-yashuv-cohen		She'ar Yashuv Cohen	eliyahu-yosef.shear-yashuv-cohen	https://en.wikipedia.org/wiki/She%27ar_Yashuv_Cohen	Eliyahu Yosef She'ar Yashuv Cohen (אליהו יוסף שאר ישוב כהן; November 4, 1927 – September 5, 2016) was the Ashkenazi Chief Rabbi of Ḥaifa, Israel and the President of its rabbinical courts (1975–2011).				
avraham-shlonsky		Shlonsky	Avraham Shlonsky (translation)	https://en.wikipedia.org/wiki/Avraham_Shlonsky	"Avraham Shlonsky (March 6, 1900 – May 18, 1973; Hebrew: אברהם שלונסקי; Russian: Авраам Шлёнский) was a Ukrainian Jew born in the Russian Empire who became a significant and dynamic Israeli poet. He was influential in the development of modern Hebrew and its literature in Israel through his many acclaimed translations of literary classics, particularly from Russian, as well as his own original Hebrew children's classics. Known for his humor, Shlonsky earned the nickname ""Lashonsky"" from the wisecrackers of his generation (<em>lashon</em> means ""tongue"", i.e., ""language"") for his unusually clever and astute innovations in the newly evolving Hebrew language."				
avi-shmidman		Shmidman	avi.shmidman	http://alhanisim.blogspot.com/	Dr. Avi Shmidman is a Senior Lecturer in the Hebrew Literature department at Bar-Ilan University, and the head of research and development at DICTA: The Israel Center for Text Analysis. His publications focus upon: liturgical piyyutim from the Cairo Genizah; the textual development of birkat ha-mazon; the writings of S. Y. Agnon; and algorithms for computational processing of Hebrew texts.			/wp-content/avatars/avi-shmidman-cropped.png	
morris-shmidman		Shmidman	morris.shmidman		Rabbi Morris Shmidman was executive director of the Council of Jewish Organizations of Borough Park, and later on president of the World Council of Orthodox Jewish Communities.				
shlomo-shmulevitz		Shmulevitz	shlomo.shmulevitz	https://www.milkenarchive.org/artists/view/solomon-smulevitz/	"Shlomo Shmulevitz (also Shmulevitsh [a/k/a Small], 1868 – 1943) was a songwriter, lyricist, bard, actor, badkhn (wedding entertainer), balladeer, and early recording singer. He was born in Minsk, Belarus, and immigrated to the United States in 1889. He was one of the most prolific and talented of the early Yiddish composers who fashioned a type of Yiddish counterpart to American popular song around the turn of the 19th–20th century and in the immediately ensuing years. He wrote a profusion of songs (words and music) and many lyrics for other songwriters. His subject matter ranged from immigrant families, labor conditions, biblical vignettes, Judaic observances, Jewish historical incidents, nostalgia, immigration obstacles, and current topical subjects to wedding celebration songs. In the last decade of his life—when, to eke out a basic subsistence, he toured the United States and traveled across Canada from Halifax to Calgary and Winnipeg, entertaining local Jewish audiences with his own and similar songs—he mused on man’s course through life in his song Man shpilt teater (Mankind Plays in a Theater): “We act as if we were all on the stage, each one acting out his little life to a script written and directed by Almighty God.” Throughout the first two decades of the 20th century Shmulevitz recorded his songs in many of the earliest recording studios on a regular basis. Thereafter he continued to turn out melodies and lyrics for others to sing. His legacy comprises about 150 known or traceable songs and song lyrics—of which ""A brivele der mamen"" is now unquestionably his most famous—although in a letter to the press he once referred to twice that number with his own tunes, in addition to 200 sets of words to melodies by others. (by Neil W. Levin from <a href=""https://www.milkenarchive.org/artists/view/solomon-smulevitz/"">the Milken Archive of Jewish Music</a>)"				
seymour-siegel		Siegel	seymour.siegel	http://en.wikipedia.org/wiki/Seymour_Siegel	"Seymour Siegel (September 12, 1927 - February 24, 1988), often referred to as ""an architect of Conservative Jewish theology,"" was an American Conservative rabbi, a Professor of Ethics and Theology at the Jewish Theological Seminary of America (JTS), the 1983-1984 Executive Director of the United States Holocaust Memorial Council,""[1] and an advisor to three American Presidents, Richard Nixon, Gerald Ford, and Ronald Reagan. Siegel was associated with JTS for 41 years, first as a student and later as an instructor, holding the Ralph Simon Professor of Ethics and Theology chair, succeeding his friend and mentor, Rabbi Abraham Joshua Heschel, in that position. He was an outspoken champion of political conservatism, delivering a prayer at the 1973 second term inauguration of President Richard Nixon, but just as strong a champion of religious causes sometimes associated with liberalism, such as the ordination of female rabbis. In his obituary, New York Times religion writer, Ari L. Goldman, wrote that the writings of Seymour Siegel ""helped open the door for the ordination of female rabbis"" in the Conservative movement."				
michael-siegel		Siegel	michael.siegel	https://www.ansheemet.org/clergy	A graduate of Hiram College, Rabbi Siegel was ordained in 1982 by the Jewish Theological Seminary of America where he received his Master of Hebrew Letters. Rabbi Siegel came to Anshe Emet in 1982 as Assistant Rabbi and was named Senior Rabbi in 1990. Rabbi Siegel serves on the Executive Council of the Rabbinical Assembly of America, the Jewish Theological Seminary's Chancellor's Rabbinic Cabinet and the Executive Board of MAZON: A Jewish Resource to Hunger. Rabbi Siegel is also a board member of the Jewish United Fund of Metropolitan Chicago, on the Advisory Board of JLJS – The DePaul University College of Law Center for Jewish Law &amp; Judaic Studies, a past President of the Chicago Board of Rabbis and active leader in the Florence G. Heller Jewish Community Center. Rabbi Siegel is the national Co-Chair of the Heksher Tzedek Commission. Through the use of the Magen Tzedek, the ethical Kosher seal, Heksher Tzedek promises to have a powerful impact on kashrut in particular and American Jewry as a whole. More recently Rabbi Siegel helped to form the Hayom Coalition, an organization of synagogues committed to the transformation of institutions, and a re-envisioning of the Conservative Movement. Rabbi Siegel has been an avid supporter of AIPAC and a leader in the creation of their Synagogue Initiative. In the past few years, Rabbi Siegel has represented the synagogue at the White House on a number of occasions including the United States Honorary Delegation commemorating the 60th Anniversary of Israel's Statehood.				
noam-sienna		Sienna	Noam Sienna (scribal artwork)	http://siennajewisharts.com	Noam Sienna is a Hebrew calligrapher, scholar, and manuscript artist, with degrees in religion, anthropology, education, and history from Brandeis University, the University of Toronto, and currently in progress at the University of Minnesota. His work explores the relationship between text, image, colour, and light, inspired by the tradition of Jewish books throughout the centuries, and with a particular focus on Jewish communities of the Middle East and North Africa. He has taught about Hebrew calligraphy and Jewish manuscript illumination to groups and individuals of all ages in both academic and hands-on settings. His graduate work in Jewish History and Museum Studies provides his art with deep roots and a commitment to seeing the past come alive again in the process.				
david-silber		Silber	david.silber	https://drisha.org/faculty/david-silber/	David Silber is the founder and dean of Drisha Institute for Jewish Education in New York and Israel. Rabbi Silber received ordination from the Rabbi Isaac Elchanan Theological Seminary. He is a recipient of the Covenant Award for excellence in innovative Jewish education, and is the author of <em>A Passover Haggadah: Go Forth and Learn</em> (Jewish Publication Society 2011) and <em>For Such a Time as This: Biblical Reflections in the Book of Esther</em> (Koren Publishers 2017). He is also a nationally acclaimed lecturer on the Bible. Rabbi Silber is married to Dr. Devora Steinmetz. They have eight children and live in New York City.				
moshe-silberschein		Silberschein	Moshe Silberschein (translation)		Born in the Midwest, Rabbi Silberschein attended Columbia University, Jewish Theological Seminary and the Hebrew University.  Ordained in 1981, he made Aliyah to Israel the following year.  He teaches piyut, liturgy and classical rabbinic literature to undergraduate and graduate students in Jerusalem and abroad.  Throughout his teaching career, Rabbi Silberschein has also served congregations as both rabbi and cantor in such diverse locales as Tokyo, Japan, Minneapolis, Minnesota, and most recently, Savannah Georgia.				
paul-silton		Silton	paul.silton	https://www.congress.gov/congressional-record/2007/3/28/extensions-of-remarks-section/article/e664-3	Dr. Rabbi Paul Silton served as rabbi of Temple Israel, the largest conservative synagogue in northeast New York. He received his B.A. in Philosophy from Boston University, an M.A. in Hebrew Literature and Rabbinical Ordination from the Jewish Theological Seminary of America in 1970, and a Doctor of Divinity in 1996. At his graduation from the Jewish Theological Seminary, he was awarded the top prize in Pastoral Counseling. While at the Seminary, he studied at the Meir Yeshiva in Brooklyn and taught at religious schools in Fort Lee, New Jersey; Hartford, Connecticut; and Rumson, New Jersey. He also served as Gabbai of the Seminary Synagogue under the supervision of Dr. Rabbi Saul Lieberman and Dr. Rabbi Louis Finkelstein. Prior to his move to Albany, New York, Rabbi Silton spent 6 years as a teacher and Education Director at Camps Ramah in Glen Spey, New York and in Palmer, Massachusetts. Rabbi Silton arrived in Albany after serving as Rabbi at Congregation Beth Israel in North Adams, Massachusetts. While in North Adams, Rabbi Silton taught at Williams College and served as prison chaplain.				
abba-hillel-silver		Silver	abba-hillel.silver	http://en.wikipedia.org/wiki/Abba_Hillel_Silver	"Born Abraham Silver in Naumiestis, in the Suwałki Governorate of Congress Poland, a part of the Russian Empire (present-day Lithuania), Abba Hillel Silver (January 28, 1893 – November 28, 1963) was an American Rabbi and Zionist leader. He was a key figure in the mobilization of American support for the founding of the State of Israel. In 1917, at age twenty-four, he became rabbi of The Temple in Cleveland, Ohio, one of the nation's largest and best-known Reform congregations, where he served for forty-six years. Abba Hillel Silver was an early champion of rights for labor, for worker's compensation and civil liberties, though his highest priorities were to advance respect for and support of Zionism. Silver was a keynote speaker in the Allied Jewish Campaign to raise funds jointly for Zionist projects in Palestine and for European Jewry. Silver was one of the chief Zionist spokesmen appearing before the United Nations in the Palestine hearings of 2 October 1947. (from <a href=""http://en.wikipedia.org/wiki/Abba_Hillel_Silver"">Wikipedia</a>)"				
morris-silverman		Silverman	Rabbi Morris Silverman	https://en.wikipedia.org/wiki/Morris_Silverman	"Rabbi Morris Silverman (1894–1972) was a Conservative rabbi as well as an editor and writer of Jewish prayer books. In 1939, he edited the <em>High Holiday Prayer Book</em>, popularly known as the ""Silverman Machzor""  which became the official prayer book for Rosh Hashanah and Yom Kippur for the United Synagogue of America of the Conservative Movement for over half a century.Likewise, his manuscript for a siddur became the basis of the <em>Sabbath and Festival Prayer Book</em> (Seder Tefilot Yisrael), the official prayer book for the Conservative movement. Silverman served as rabbi for The Emanuel Synagogue in West Hartford, Connecticut."				
robert-silvers		Silvers	robert.silvers	https://www.cbiboca.org/worship/spiritual-leadership/	Rabbi Robert Silvers serves as Senior Rabbi for Congregation B’nai Israel, a URJ affiliated Reform congregation, in Boca Raton, Florida. He is a graduate of the Rabbinical program at the Academy for Jewish Religion, a pluralistic seminary preparing rabbis and cantors to serve Klal Yisrael – the entire Jewish people. Rabbi Silvers holds the unique distinction of receiving semicha (ordination) from a Beit Din consisting of both Reform and Conservative rabbis.				
daniel-raphael-silverstein		Silverstein	daniel-raphael.silverstein	https://www.danielraphaelsilverstein.com/	Rabbi Daniel Raphael Silverstein is a meditation teacher, interfaith activist, rabbi and MC/poet who has facilitated, performed and taught across Europe and the US. In 2015, Daniel was selected by the <em>Jewish Week</em> as one of the 36 young leaders “remaking the Jewish community.” He recently moved from Palo Alto, where he was Director of Jewish Life and Learning for Hillel at Stanford University, to Israel, where he is enjoying teaching and writing for a diverse range of institutions, including Pardes and Or HaLev.				
nili-simhai		Simhai	nili.simhai	http://nilisimhai.com	"The former director of the Teva Learning Center, Nili Simhai is a leader of the Jewish environmental education movement. She has trained and counseled hundreds of educators in the pedagogy of Jewish environmental education and has put environmental sensibilities and programs squarely in the middle of Jewish educational programming and outreach. In 2009 she was the recipient of the Covenant Award for excellence in Jewish education. In addition, she is proud of her role in the creation of Teva’s Shomrei Ḥayyot, Yitziah, and “Bringing It Back to Our Schools” programs, as well as her contribution to the development of several Teva curricula. 

Passionate about all of Creation, Nili’s background includes study and work in ecological concerns ranging from wildlife conservation, wetland remediation, and entomology (Ohio State University) to ornithology (International Birdwatching Center in Eilat, Smithsonian Institute) and natural history (Natural History Museum of Cleveland). She lives in Northampton, Massachusetts with her husband Yosh and her little boy, Tal."				
